time (s),Frequency (Hz),Flux (mJy),Flux error
55.7167043201143,372000000000000.0,0.004508151405207502,0.0005187662387687343
80.29922744121332,372000000000000.0,0.004948616288021012,0.0003518182706018011
115.72769793794001,372000000000000.0,0.005338351196057841,0.0005416887725930046
166.787408755831,372000000000000.0,0.005726596037652545,0.00047369679861162395
240.3749509853928,372000000000000.0,0.005425650269103312,0.0005083923827085408
346.4297304709454,372000000000000.0,0.004573136564679004,0.0006030043223750921
499.27647478320205,372000000000000.0,0.0037388714335702656,0.0003848558726489985
719.5600618141748,372000000000000.0,0.0031337542884010304,1.0780695187171312e-06
1037.0340056235302,372000000000000.0,0.002281801223909456,0.00020508798456960806
1494.5792379140041,372000000000000.0,0.0016225580801590082,0.00015069077316027187
2153.9959984827346,372000000000000.0,0.001134410594621741,0.00010874402461513837
3104.3511402950435,372000000000000.0,0.0007326688444017494,0.00011289265522869245
4474.008312475691,372000000000000.0,0.0005565973503854688,0.00011427961794678419
6447.965927655705,372000000000000.0,0.00034201765115519965,7.15146895376277e-05
9292.844737966678,372000000000000.0,0.0002702775534460723,1.3984277378229311e-05
13392.900070015085,372000000000000.0,0.0001754083073469931,6.72974319281157e-06
19301.92286034654,372000000000000.0,0.00011046968548275587,4.912747737149465e-06
27818.03971948465,372000000000000.0,7.081409172228053e-05,9.59250886140896e-06
40091.51520466351,372000000000000.0,4.576743216470529e-05,4.036987328734179e-06
57780.11706122998,372000000000000.0,2.2389281905480593e-05,3.6473765219774217e-06
83273.02948183633,372000000000000.0,1.077144574708529e-05,9.30954028013181e-07
120013.55815417189,372000000000000.0,4.253247200364627e-06,2.210243974387279e-07
172964.21458962845,372000000000000.0,1.5660219916622806e-06,2.4744590225683544e-07
249276.99827194138,372000000000000.0,4.905554561696109e-07,4.92732584221298e-08
359259.41105736414,372000000000000.0,1.6885003628222728e-07,2.1937117193888734e-08
517766.682558019,372000000000000.0,6.793994643478132e-08,5.079371950439825e-09
746208.253189868,372000000000000.0,2.6227471359865556e-08,2.516192196354902e-09
1075439.528819584,372000000000000.0,1.104622842887894e-08,1.2037682771560956e-09
1549929.4938157229,372000000000000.0,4.169489620820471e-09,6.163591102903195e-10
2233767.0984036056,372000000000000.0,1.8171696586921402e-09,2.6818756507369837e-10
3219317.6978821396,372000000000000.0,7.700281292227007e-10,2.4104285908289718e-11
4639698.761479632,372000000000000.0,3.7355974516812555e-10,6.1472347627913e-11
6686759.934080832,372000000000000.0,1.679684119185298e-10,1.7989869092267e-11
9636996.002251137,372000000000000.0,9.480460741233316e-11,2.0557937073731868e-11
13888892.80652339,372000000000000.0,4.581348269623562e-11,4.403608653062223e-12
20016750.380101576,372000000000000.0,2.2518452303119116e-11,3.7618541271957826e-12
28848253.158891603,372000000000000.0,1.3850402638642077e-11,1.8131605337881195e-12
41576264.6042089,372000000000000.0,7.448150563986901e-12,7.276259764879843e-13
59919946.24140365,372000000000000.0,3.644141683428403e-12,5.283490075589157e-13
1.0,455000000000000.0,0.0006047567910887577,3.547788407076043e-05
1.4412056208468973,455000000000000.0,0.0006961832691460538,6.799499228944869e-05
2.0770736415606903,455000000000000.0,0.0008413423808340069,2.4165018994255357e-05
2.9934902071302005,455000000000000.0,0.0011413990111715459,0.00014961809494385065
4.314234912466188,455000000000000.0,0.0011981135585841865,0.00013972276854164753
6.217699605500191,455000000000000.0,0.001507514395105892,0.00016844815621328528
8.960983620184411,455000000000000.0,0.0016273495553510808,0.00012539758468271565
12.914619961726748,455000000000000.0,0.0022618367498479282,0.00013499963099830687
18.612622879942133,455000000000000.0,0.0023405698360230392,0.00039323092104825015
26.82461671327616,455000000000000.0,0.0029618113641823136,0.000435741820296522
38.65978838423723,455000000000000.0,0.0033301404399468525,0.00011625085814909426
55.7167043201143,455000000000000.0,0.004071372375587649,0.0004810476751808817
80.29922744121332,455000000000000.0,0.005213074553923429,0.0002099907569980986
115.72769793794001,455000000000000.0,0.005890792193305706,0.0007115798781333118
166.787408755831,455000000000000.0,0.005670526387949627,0.000524082230692948
240.3749509853928,455000000000000.0,0.005098696125024629,0.0006646340004695828
346.4297304709454,455000000000000.0,0.004536625922586629,0.0003858525431642195
499.27647478320205,455000000000000.0,0.0037797149703898522,0.00043816358521725626
719.5600618141748,455000000000000.0,0.0029195592264034745,0.00038829105944479796
1037.0340056235302,455000000000000.0,0.0019140750271092876,0.00025338096317959965
1494.5792379140041,455000000000000.0,0.001349425486616129,0.0003115072450770603
2153.9959984827346,455000000000000.0,0.001200729509834771,0.0001669156362223461
3104.3511402950435,455000000000000.0,0.0006560267953779904,8.258111503589092e-05
4474.008312475691,455000000000000.0,0.0005045130519369878,5.146410802914397e-05
6447.965927655705,455000000000000.0,0.00029088026240652834,7.0413964353326696e-06
9292.844737966678,455000000000000.0,0.0002246433012695796,3.5155386162187626e-05
13392.900070015085,455000000000000.0,0.0001375865302944577,2.140028806663562e-05
19301.92286034654,455000000000000.0,9.60857015142142e-05,1.110949261321285e-05
27818.03971948465,455000000000000.0,7.57435190725822e-05,1.7733821798031902e-05
40091.51520466351,455000000000000.0,4.351593500380074e-05,6.737374066586557e-06
57780.11706122998,455000000000000.0,1.9224858491225006e-05,2.3420417155706258e-06
83273.02948183633,455000000000000.0,1.0230061279329376e-05,1.834973712239523e-06
120013.55815417189,455000000000000.0,3.5896593794529274e-06,4.265395010010192e-07
172964.21458962845,455000000000000.0,1.2013660549939279e-06,1.438883580054739e-07
249276.99827194138,455000000000000.0,4.855345493892453e-07,3.1631582903694456e-08
359259.41105736414,455000000000000.0,1.6476303120922366e-07,8.429628759720317e-09
517766.682558019,455000000000000.0,5.4541955724406785e-08,9.660429741872258e-09
746208.253189868,455000000000000.0,2.3053690820780097e-08,3.674030026168254e-09
1075439.528819584,455000000000000.0,9.460126561301519e-09,7.583989779457171e-10
1549929.4938157229,455000000000000.0,3.764222585640272e-09,5.299365323647781e-10
2233767.0984036056,455000000000000.0,1.5912121295798707e-09,1.3708447772380046e-10
3219317.6978821396,455000000000000.0,7.126585888073983e-10,1.185561017635279e-10
4639698.761479632,455000000000000.0,3.226975439625684e-10,7.751003512449752e-11
6686759.934080832,455000000000000.0,1.553599952639983e-10,8.86317866955125e-12
9636996.002251137,455000000000000.0,8.614944956702156e-11,2.4599840089707585e-12
13888892.80652339,455000000000000.0,3.767719768005234e-11,4.521505647493705e-12
20016750.380101576,455000000000000.0,2.0358446167952124e-11,1.8664606209174186e-12
28848253.158891603,455000000000000.0,1.0370245828841948e-11,7.673576472133213e-13
41576264.6042089,455000000000000.0,5.946385221315517e-12,7.301055502478273e-13
59919946.24140365,455000000000000.0,3.92414413308919e-12,6.038334823827777e-13
1.0,545000000000000.0,0.0005683769113129806,5.549541872843641e-05
1.4412056208468973,545000000000000.0,0.000709094730537442,5.940335638382489e-05
2.0770736415606903,545000000000000.0,0.0009054846932257581,0.00010321727192598146
2.9934902071302005,545000000000000.0,0.0009946508828158212,0.00023478203090865403
4.314234912466188,545000000000000.0,0.0012285447554682893,2.011625064169427e-05
6.217699605500191,545000000000000.0,0.0016095640293076546,6.184976344831615e-05
8.960983620184411,545000000000000.0,0.0017067119587454264,0.0002526608927733757
12.914619961726748,545000000000000.0,0.0021733712043133092,0.0003388537832872979
18.612622879942133,545000000000000.0,0.002626602884161774,0.00018189210850600758
26.82461671327616,545000000000000.0,0.0030067750379894113,0.00046734038053564006
38.65978838423723,545000000000000.0,0.0035789739029596364,0.0003308193573991803
55.7167043201143,545000000000000.0,0.004474871130638657,5.2680560971657334e-05
80.29922744121332,545000000000000.0,0.005178615377624602,0.0008414246040395764
115.72769793794001,545000000000000.0,0.005635718738785969,0.0007773651547832395
166.787408755831,545000000000000.0,0.006135108916583336,0.00017339523823880695
240.3749509853928,545000000000000.0,0.005247119909577845,0.0004880966859671132
346.4297304709454,545000000000000.0,0.004436642760598684,0.0004593051602369872
499.27647478320205,545000000000000.0,0.0031708627748802116,0.000228708996669532
719.5600618141748,545000000000000.0,0.002391383439711426,0.00016723989210908717
1037.0340056235302,545000000000000.0,0.0016543291087146464,0.00020994656588378785
1494.5792379140041,545000000000000.0,0.0011943816980643216,0.0001234456930827448
2153.9959984827346,545000000000000.0,0.0007987975243717568,8.179669655049893e-05
3104.3511402950435,545000000000000.0,0.0005791940123016894,4.825941275897743e-05
4474.008312475691,545000000000000.0,0.0004209712718875473,6.145612240416214e-05
6447.965927655705,545000000000000.0,0.0002694595082937576,4.6894887912353894e-05
9292.844737966678,545000000000000.0,0.00020359727539390941,1.0664930810599306e-05
13392.900070015085,545000000000000.0,0.0001218679905876788,9.404993303546393e-06
19301.92286034654,545000000000000.0,8.922891369902416e-05,7.410360176311574e-06
27818.03971948465,545000000000000.0,5.8920561434251396e-05,7.003085169089465e-06
40091.51520466351,545000000000000.0,3.381098755840024e-05,4.324552066811655e-06
57780.11706122998,545000000000000.0,1.936970877468376e-05,1.4450830587634336e-06
